,date,value,changed
137,1991-06-01,133.2,56.06972210076062
138,1991-07-01,133.6,56.37002240106093
139,1991-08-01,133.8,56.51972299986335
140,1991-09-01,134.3,56.8934150775913
141,1991-10-01,134.7,57.19125573284072
142,1991-11-01,135.2,57.56245098154154
143,1991-12-01,135.6,57.85830896970723
144,1992-01-01,135.9,58.079547907760336
145,1992-02-01,136.1,58.22671494234457
146,1992-03-01,136.4,58.44714109958191
147,1992-04-01,136.7,58.6670824485555
148,1992-05-01,136.9,58.81338822763378
149,1992-06-01,137.4,59.178618322593614
150,1992-07-01,137.7,59.39695893394732
151,1992-08-01,137.9,59.5422022164455
152,1992-09-01,138.1,59.68723484878777
153,1992-10-01,138.6,60.049291329598766
154,1992-11-01,139.0,60.33789161819906
155,1992-12-01,139.2,60.48177651028538
156,1993-01-01,139.6,60.76913283212447
157,1993-02-01,139.6,60.76913283212447
158,1993-03-01,140.0,61.055665783413865
159,1993-04-01,140.6,61.48423721198529
160,1993-05-01,140.8,61.62648472265387
161,1993-06-01,141.2,61.91057563174476
162,1993-07-01,141.3,61.98139716148983
163,1993-08-01,141.7,62.26448279489392
164,1993-09-01,142.0,62.4761976855079
165,1993-10-01,142.3,62.68746529114171
166,1993-11-01,142.6,62.89828749774747
167,1993-12-01,143.0,63.178792406583376
168,1994-01-01,143.2,63.318652546443516
169,1994-02-01,143.7,63.6678145576167
170,1994-03-01,144.1,63.94617224724788
171,1994-04-01,144.0,63.87677599464552
172,1994-05-01,144.4,64.1545537724233
173,1994-06-01,144.6,64.29305792754793
174,1994-07-01,144.8,64.43137051399333
175,1994-08-01,145.3,64.77667438139665
176,1994-09-01,145.5,64.91432063053635
177,1994-10-01,145.7,65.05177767520989
178,1994-11-01,146.0,65.25768021467455
179,1994-12-01,146.0,65.25768021467455
180,1995-01-01,146.6,65.66863911878413
181,1995-02-01,146.9,65.87327759081688
182,1995-03-01,147.2,66.07749814901972
183,1995-04-01,147.6,66.34923727945451
184,1995-05-01,147.9,66.55248931197485
185,1995-06-01,148.2,66.75532906856714
186,1995-07-01,148.6,67.02523460163057
187,1995-08-01,149.0,67.29441360566827
188,1995-09-01,149.2,67.42864179358773
189,1995-10-01,149.8,67.83078656570571
190,1995-11-01,150.0,67.96429791417033
191,1995-12-01,150.3,68.16429791417033
192,1996-01-01,150.9,68.56349951097671
193,1996-02-01,151.2,68.76230666803436
194,1996-03-01,151.6,69.02685693258464
195,1996-04-01,151.9,69.22474611464268
196,1996-05-01,152.3,69.48807725354986
197,1996-06-01,152.4,69.55373713536208
198,1996-07-01,153.0,69.94743792276365
199,1996-08-01,153.4,70.20887583126039
200,1996-09-01,153.7,70.40444297598005
201,1996-10-01,154.0,70.59962840213491
202,1996-11-01,154.4,70.85936866187518
203,1996-12-01,154.7,71.05366918000988
204,1997-01-01,155.3,71.44151662668088
205,1997-02-01,155.7,71.69908262796869
206,1997-03-01,155.7,71.69908262796869
207,1997-04-01,156.0,71.891760855329
208,1997-05-01,156.2,72.01996598353412
209,1997-06-01,156.6,72.27604792975691
210,1997-07-01,156.9,72.46761881098297
211,1997-08-01,157.1,72.59508853692306
212,1997-09-01,157.5,72.84970343189443
213,1997-10-01,157.8,73.04017962237063
214,1997-11-01,158.3,73.35703640310572
215,1997-12-01,158.4,73.42020759704127
216,1998-01-01,158.7,73.60960153643519
217,1998-02-01,158.8,73.67261350870993
218,1998-03-01,159.2,73.92450267747566
219,1998-04-01,159.6,74.17575895888268
220,1998-05-01,160.0,74.42638552529871
221,1998-06-01,160.2,74.55138552529871
222,1998-07-01,160.5,74.73865144290173
223,1998-08-01,160.8,74.9255673307522
224,1998-09-01,161.1,75.11213449493128
225,1998-10-01,161.5,75.36042748065444
226,1998-11-01,161.9,75.60810549923029
227,1998-12-01,162.2,75.79340506686462
228,1999-01-01,162.2,75.79340506686462
229,1999-02-01,162.4,75.91670962913344
230,1999-03-01,162.7,76.10143869317282
231,1999-04-01,163.1,76.34728995316053
232,1999-05-01,163.3,76.46991411011946
233,1999-06-01,163.6,76.65362507154015
234,1999-07-01,164.0,76.89812384904627
235,1999-08-01,164.3,77.08105067831457
236,1999-09-01,164.9,77.44623631434622
237,1999-10-01,165.1,77.56752194199935
238,1999-11-01,165.5,77.80979934963109
239,1999-12-01,165.7,77.93064527108123
240,2000-01-01,166.5,78.41344551248136
241,2000-02-01,167.3,78.89392599296184
242,2000-03-01,167.7,79.13301744544239
243,2000-04-01,167.9,79.25227802981927
244,2000-05-01,168.3,79.4905150756799
245,2000-06-01,169.2,80.02527443396865
246,2000-07-01,169.9,80.438986017893
247,2000-08-01,170.2,80.61556047345509
248,2000-09-01,171.1,81.14435013267953
249,2000-10-01,171.8,81.55346760784026
250,2000-11-01,172.2,81.78629647862022
251,2000-12-01,172.8,82.13472853436936
252,2001-01-01,174.5,83.11852483066563
253,2001-02-01,174.9,83.34775119169717
254,2001-03-01,175.3,83.57645330719174
255,2001-04-01,175.4,83.63349837279357
256,2001-05-01,176.1,84.0325861721094
257,2001-06-01,176.8,84.43008759175734
258,2001-07-01,176.8,84.43008759175734
259,2001-08-01,177.1,84.59977084967589
260,2001-09-01,177.0,84.54330557581932
261,2001-10-01,176.9,84.48680840067809
262,2001-11-01,177.5,84.82598307563569
263,2001-12-01,177.9,85.05133518831175
264,2002-01-01,178.3,85.27618060708635
265,2002-02-01,178.7,85.50052160540378
266,2002-03-01,179.0,85.66840073243232
267,2002-04-01,179.5,85.94773034137087
268,2002-05-01,179.8,86.11486126059094
269,2002-06-01,180.0,86.22609596581897
270,2002-07-01,180.2,86.33720707693007
271,2002-08-01,180.7,86.61467655528746
