,realtime_start,realtime_end,date,value
188,2024-08-13,2024-08-13,2014-02-01,148.7
189,2024-08-13,2024-08-13,2014-03-01,148.7
190,2024-08-13,2024-08-13,2014-04-01,150.3
191,2024-08-13,2024-08-13,2014-05-01,150.3
192,2024-08-13,2024-08-13,2014-06-01,150.4
193,2024-08-13,2024-08-13,2014-07-01,150.4
194,2024-08-13,2024-08-13,2014-08-01,150.5
195,2024-08-13,2024-08-13,2014-09-01,150.5
196,2024-08-13,2024-08-13,2014-10-01,150.6
197,2024-08-13,2024-08-13,2014-11-01,152.7
198,2024-08-13,2024-08-13,2014-12-01,152.7
199,2024-08-13,2024-08-13,2015-01-01,152.1
200,2024-08-13,2024-08-13,2015-02-01,152.6
201,2024-08-13,2024-08-13,2015-03-01,152.6
202,2024-08-13,2024-08-13,2015-04-01,153.5
203,2024-08-13,2024-08-13,2015-05-01,153.7
204,2024-08-13,2024-08-13,2015-06-01,153.9
205,2024-08-13,2024-08-13,2015-07-01,154.7
206,2024-08-13,2024-08-13,2015-08-01,155.1
207,2024-08-13,2024-08-13,2015-09-01,155.2
208,2024-08-13,2024-08-13,2015-10-01,156.7
209,2024-08-13,2024-08-13,2015-11-01,157.2
210,2024-08-13,2024-08-13,2015-12-01,157.9
211,2024-08-13,2024-08-13,2016-01-01,158.4
212,2024-08-13,2024-08-13,2016-02-01,159.0
213,2024-08-13,2024-08-13,2016-03-01,158.9
214,2024-08-13,2024-08-13,2016-04-01,160.5
215,2024-08-13,2024-08-13,2016-05-01,160.7
216,2024-08-13,2024-08-13,2016-06-01,160.9
217,2024-08-13,2024-08-13,2016-07-01,162.2
218,2024-08-13,2024-08-13,2016-08-01,162.3
219,2024-08-13,2024-08-13,2016-09-01,162.3
220,2024-08-13,2024-08-13,2016-10-01,166.0
221,2024-08-13,2024-08-13,2016-11-01,166.1
222,2024-08-13,2024-08-13,2016-12-01,166.1
223,2024-08-13,2024-08-13,2017-01-01,166.3
224,2024-08-13,2024-08-13,2017-02-01,166.4
225,2024-08-13,2024-08-13,2017-03-01,166.6
226,2024-08-13,2024-08-13,2017-04-01,170.9
227,2024-08-13,2024-08-13,2017-05-01,171.0
228,2024-08-13,2024-08-13,2017-06-01,173.6
229,2024-08-13,2024-08-13,2017-07-01,173.7
230,2024-08-13,2024-08-13,2017-08-01,173.8
231,2024-08-13,2024-08-13,2017-09-01,174.5
232,2024-08-13,2024-08-13,2017-10-01,175.0
233,2024-08-13,2024-08-13,2017-11-01,175.1
234,2024-08-13,2024-08-13,2017-12-01,178.1
235,2024-08-13,2024-08-13,2018-01-01,178.2
236,2024-08-13,2024-08-13,2018-02-01,178.3
237,2024-08-13,2024-08-13,2018-03-01,178.6
238,2024-08-13,2024-08-13,2018-04-01,179.1
239,2024-08-13,2024-08-13,2018-05-01,179.5
240,2024-08-13,2024-08-13,2018-06-01,178.7
241,2024-08-13,2024-08-13,2018-07-01,180.0
242,2024-08-13,2024-08-13,2018-08-01,180.4
243,2024-08-13,2024-08-13,2018-09-01,180.7
244,2024-08-13,2024-08-13,2018-10-01,180.5
245,2024-08-13,2024-08-13,2018-11-01,180.5
246,2024-08-13,2024-08-13,2018-12-01,181.8
247,2024-08-13,2024-08-13,2019-01-01,181.5
248,2024-08-13,2024-08-13,2019-02-01,181.6
249,2024-08-13,2024-08-13,2019-03-01,181.7
250,2024-08-13,2024-08-13,2019-04-01,181.8
